REGION,EMISSION,YEAR,VALUE
REGION1,DEHO,2034,91.3057344
REGION1,DEHO,2035,92.695752
REGION1,DEHO,2036,93.868056
REGION1,DEHO,2037,95.04036
REGION1,DEHO,2038,96.212664
REGION1,DEHO,2039,97.384968
REGION1,DEHO,2040,98.557272
REGION1,DEHO,2041,99.9975312
REGION1,DEHO,2042,101.4377904
REGION1,DEHO,2043,102.8780496
REGION1,DEHO,2044,104.3183088
REGION1,DEHO,2045,105.758568
REGION1,DEHO,2046,106.6880376
REGION1,DEHO,2047,107.6175072
REGION1,DEHO,2048,108.5469768
REGION1,DEHO,2049,109.4764
REGION1,DEHO,2050,110.405916
REGION1,DEHO,2051,110.9579456
REGION1,DEHO,2052,111.5127353
REGION1,DEHO,2053,112.070299
REGION1,DEHO,2054,112.6306505
REGION1,DEHO,2055,113.1938037
REGION1,DEHO,2056,113.7597728
REGION1,DEHO,2057,114.3285716
REGION1,DEHO,2058,114.9002145
REGION1,DEHO,2059,115.4747155
REGION1,DEHO,2060,116.0520891
REGION1,DKHO,2015,0.083736
REGION1,DKHO,2016,0.083736
REGION1,DKHO,2017,0.083736
REGION1,DKHO,2018,0.083736
REGION1,DKHO,2019,0.083736
REGION1,DKHO,2020,0.083736
REGION1,DKHO,2021,0.083736
REGION1,DKHO,2022,0.083736
REGION1,DKHO,2023,0.083736
REGION1,DKHO,2024,0.083736
REGION1,DKHO,2025,0.083736
REGION1,DKHO,2026,0.083736
REGION1,DKHO,2027,0.083736
REGION1,DKHO,2028,0.083736
REGION1,DKHO,2029,0.083736
REGION1,DKHO,2030,0.083736
REGION1,DKHO,2031,0.083736
REGION1,DKHO,2032,0.083736
REGION1,DKHO,2033,0.083736
REGION1,DKHO,2034,0.083736
REGION1,DKHO,2035,0.083736
REGION1,DKHO,2036,0.083736
REGION1,DKHO,2037,0.083736
REGION1,DKHO,2038,0.083736
REGION1,DKHO,2039,0.083736
REGION1,DKHO,2040,0.083736
REGION1,DKHO,2041,0.083736
REGION1,DKHO,2042,0.083736
REGION1,DKHO,2043,0.083736
REGION1,DKHO,2044,0.083736
REGION1,DKHO,2045,0.083736
REGION1,DKHO,2046,0.083736
REGION1,DKHO,2047,0.083736
REGION1,DKHO,2048,0.083736
REGION1,DKHO,2049,0.083736
REGION1,DKHO,2050,0.083736
REGION1,DKHO,2051,0.083736
REGION1,DKHO,2052,0.083736
REGION1,DKHO,2053,0.083736
REGION1,DKHO,2054,0.083736
REGION1,DKHO,2055,0.083736
REGION1,DKHO,2056,0.083736
REGION1,DKHO,2057,0.083736
REGION1,DKHO,2058,0.083736
REGION1,DKHO,2059,0.083736
REGION1,DKHO,2060,0.083736
REGION1,EEHO,2015,0.125604
REGION1,EEHO,2016,0.125604
REGION1,EEHO,2017,0.125604
REGION1,EEHO,2018,0.125604
REGION1,EEHO,2019,0.125604
REGION1,EEHO,2020,0.125604
REGION1,EEHO,2021,0.125604
REGION1,EEHO,2022,0.125604
REGION1,EEHO,2023,0.125604
REGION1,EEHO,2024,0.125604
REGION1,EEHO,2025,0.125604
REGION1,EEHO,2026,0.125604
REGION1,EEHO,2027,0.125604
REGION1,EEHO,2028,0.125604
REGION1,EEHO,2029,0.125604
REGION1,EEHO,2030,0.125604
REGION1,EEHO,2031,0.1590984
REGION1,EEHO,2032,0.1925928
REGION1,EEHO,2033,0.2260872
REGION1,EEHO,2034,0.2595816
REGION1,EEHO,2035,0.293076
REGION1,EEHO,2036,0.3014496
REGION1,EEHO,2037,0.3098232
REGION1,EEHO,2038,0.3181968
REGION1,EEHO,2039,0.3265704
REGION1,EEHO,2040,0.334944
REGION1,EEHO,2041,0.334944
REGION1,EEHO,2042,0.334944
REGION1,EEHO,2043,0.334944
REGION1,EEHO,2044,0.334944
REGION1,EEHO,2045,0.334944
REGION1,EEHO,2046,0.3265704
REGION1,EEHO,2047,0.3181968
REGION1,EEHO,2048,0.3098232
REGION1,EEHO,2049,0.3014496
REGION1,EEHO,2050,0.293076
REGION1,EEHO,2051,0.28721448
REGION1,EEHO,2052,0.28147019
REGION1,EEHO,2053,0.275840787
REGION1,EEHO,2054,0.270323971
REGION1,EEHO,2055,0.264917491
REGION1,EEHO,2056,0.259619142
REGION1,EEHO,2057,0.254426759
REGION1,EEHO,2058,0.249338224
REGION1,EEHO,2059,0.244351459
REGION1,EEHO,2060,0.23946443
REGION1,ESHO,2015,119.449404
REGION1,ESHO,2016,119.5247664
REGION1,ESHO,2017,119.6001288
REGION1,ESHO,2018,119.6754912
REGION1,ESHO,2019,119.7508536
REGION1,ESHO,2020,119.826216
REGION1,ESHO,2021,119.9434464
REGION1,ESHO,2022,120.0606768
REGION1,ESHO,2023,120.1779072
REGION1,ESHO,2024,120.2951376
REGION1,ESHO,2025,120.412368
REGION1,ESHO,2026,120.454236
REGION1,ESHO,2027,120.496104
REGION1,ESHO,2028,120.537972
REGION1,ESHO,2029,120.57984
REGION1,ESHO,2030,120.621708
REGION1,ESHO,2031,120.6468288
REGION1,ESHO,2032,120.6719496
REGION1,ESHO,2033,120.6970704
REGION1,ESHO,2034,120.7221912
REGION1,ESHO,2035,120.747312
REGION1,ESHO,2036,120.7305648
REGION1,ESHO,2037,120.7138176
REGION1,ESHO,2038,120.6970704
REGION1,ESHO,2039,120.6803232
REGION1,ESHO,2040,120.663576
REGION1,ESHO,2041,121.4255736
REGION1,ESHO,2042,122.1875712
REGION1,ESHO,2043,122.9495688
REGION1,ESHO,2044,123.7115664
REGION1,ESHO,2045,124.473564
REGION1,ESHO,2046,124.6577832
REGION1,ESHO,2047,124.8420024
REGION1,ESHO,2048,125.0262216
REGION1,ESHO,2049,125.2104
REGION1,ESHO,2050,125.39466
REGION1,ESHO,2051,125.5200547
REGION1,ESHO,2052,125.6455747
REGION1,ESHO,2053,125.7712203
REGION1,ESHO,2054,125.8969915
REGION1,ESHO,2055,126.0228885
REGION1,ESHO,2056,126.1489114
REGION1,ESHO,2057,126.2750603
REGION1,ESHO,2058,126.4013354
REGION1,ESHO,2059,126.5277367
REGION1,ESHO,2060,126.6542644
REGION1,FIHO,2015,56.5218
REGION1,FIHO,2016,55.391364
REGION1,FIHO,2017,54.260928
REGION1,FIHO,2018,53.130492
REGION1,FIHO,2019,52.000056
REGION1,FIHO,2020,50.86962
REGION1,FIHO,2021,51.3050472
REGION1,FIHO,2022,51.7404744
REGION1,FIHO,2023,52.1759016
REGION1,FIHO,2024,52.6113288
REGION1,FIHO,2025,53.046756
REGION1,FIHO,2026,53.3314584
REGION1,FIHO,2027,53.6161608
REGION1,FIHO,2028,53.9008632
REGION1,FIHO,2029,54.1855656
REGION1,FIHO,2030,54.470268
REGION1,FIHO,2031,54.8219592
REGION1,FIHO,2032,55.1736504
REGION1,FIHO,2033,55.5253416
REGION1,FIHO,2034,55.8770328
REGION1,FIHO,2035,56.228724
REGION1,FIHO,2036,56.2957128
REGION1,FIHO,2037,56.3627016
REGION1,FIHO,2038,56.4296904
REGION1,FIHO,2039,56.4966792
REGION1,FIHO,2040,56.563668
REGION1,FIHO,2041,56.563668
REGION1,FIHO,2042,56.563668
REGION1,FIHO,2043,56.563668
REGION1,FIHO,2044,56.563668
REGION1,FIHO,2045,56.563668
REGION1,FIHO,2046,57.0577104
REGION1,FIHO,2047,57.5517528
REGION1,FIHO,2048,58.0457952
REGION1,FIHO,2049,58.5398376
REGION1,FIHO,2050,59.03388
REGION1,FIHO,2051,59.3290494
REGION1,FIHO,2052,59.62569465
REGION1,FIHO,2053,59.92382312
REGION1,FIHO,2054,60.22344224
REGION1,FIHO,2055,60.52455945
REGION1,FIHO,2056,60.82718224
REGION1,FIHO,2057,61.13131816
REGION1,FIHO,2058,61.43697475
REGION1,FIHO,2059,61.74415962
REGION1,FIHO,2060,62.05288042
REGION1,FRHO,2015,229.269168
REGION1,FRHO,2016,231.5886552
REGION1,FRHO,2017,233.9081424
REGION1,FRHO,2018,236.2276296
REGION1,FRHO,2019,238.5471168
REGION1,FRHO,2020,240.866604
REGION1,FRHO,2021,238.8736872
REGION1,FRHO,2022,236.8807704
REGION1,FRHO,2023,234.8878536
REGION1,FRHO,2024,232.8949368
REGION1,FRHO,2025,230.90202
REGION1,FRHO,2026,230.9103936
REGION1,FRHO,2027,230.9187672
REGION1,FRHO,2028,230.9271408
REGION1,FRHO,2029,230.9355144
REGION1,FRHO,2030,230.943888
REGION1,FRHO,2031,231.9403464
REGION1,FRHO,2032,232.9368048
REGION1,FRHO,2033,233.9332632
REGION1,FRHO,2034,234.9297216
REGION1,FRHO,2035,235.92618
REGION1,FRHO,2036,238.7899512
REGION1,FRHO,2037,241.6537224
REGION1,FRHO,2038,244.5174936
REGION1,FRHO,2039,247.3812648
REGION1,FRHO,2040,250.245036
REGION1,FRHO,2041,253.175796
REGION1,FRHO,2042,256.106556
REGION1,FRHO,2043,259.037316
REGION1,FRHO,2044,261.968076
REGION1,FRHO,2045,264.898836
REGION1,FRHO,2046,267.9552
REGION1,FRHO,2047,271.011564
REGION1,FRHO,2048,274.067928
REGION1,FRHO,2049,277.1243
REGION1,FRHO,2050,280.180656
REGION1,FRHO,2051,282.9824626
REGION1,FRHO,2052,285.8122872
REGION1,FRHO,2053,288.6704101
REGION1,FRHO,2054,291.5571142
REGION1,FRHO,2055,294.4726853
REGION1,FRHO,2056,297.4174122
REGION1,FRHO,2057,300.3915863
REGION1,FRHO,2058,303.3955021
REGION1,FRHO,2059,306.4294572
REGION1,FRHO,2060,309.4937517
REGION1,GRHY,2015,21.185208
REGION1,GRHY,2016,21.2019552
REGION1,GRHY,2017,21.2187024
REGION1,GRHY,2018,21.2354496
REGION1,GRHY,2019,21.2521968
REGION1,GRHY,2020,21.268944
REGION1,GRHY,2021,21.0093624
REGION1,GRHY,2022,20.7497808
REGION1,GRHY,2023,20.4901992
REGION1,GRHY,2024,20.2306176
REGION1,GRHY,2025,19.971036
REGION1,GRHY,2026,19.9961568
REGION1,GRHY,2027,20.0212776
REGION1,GRHY,2028,20.0463984
REGION1,GRHY,2029,20.0715192
REGION1,GRHY,2030,20.09664
REGION1,GRHY,2031,20.1301344
REGION1,GRHY,2032,20.1636288
REGION1,GRHY,2033,20.1971232
REGION1,GRHY,2034,20.2306176
REGION1,GRHY,2035,20.264112
REGION1,GRHY,2036,20.2557384
REGION1,GRHY,2037,20.2473648
REGION1,GRHY,2038,20.2389912
REGION1,GRHY,2039,20.2306176
REGION1,GRHY,2040,20.222244
REGION1,GRHY,2041,20.2138704
REGION1,GRHY,2042,20.2054968
REGION1,GRHY,2043,20.1971232
REGION1,GRHY,2044,20.1887496
REGION1,GRHY,2045,20.180376
REGION1,GRHY,2046,20.180376
REGION1,GRHY,2047,20.180376
REGION1,GRHY,2048,20.180376
REGION1,GRHY,2049,20.1804
REGION1,GRHY,2050,20.180376
REGION1,GRHY,2051,20.180376
REGION1,GRHY,2052,20.180376
REGION1,GRHY,2053,20.180376
REGION1,GRHY,2054,20.180376
REGION1,GRHY,2055,20.180376
REGION1,GRHY,2056,20.180376
REGION1,GRHY,2057,20.180376
REGION1,GRHY,2058,20.180376
REGION1,GRHY,2059,20.180376
REGION1,GRHY,2060,20.180376
REGION1,HRHY,2015,22.315644
REGION1,HRHY,2016,22.4077536
REGION1,HRHY,2017,22.4998632
REGION1,HRHY,2018,22.5919728
REGION1,HRHY,2019,22.6840824
REGION1,HRHY,2020,22.776192
REGION1,HRHY,2021,22.81806
REGION1,HRHY,2022,22.859928
REGION1,HRHY,2023,22.901796
REGION1,HRHY,2024,22.943664
REGION1,HRHY,2025,22.985532
REGION1,HRHY,2026,22.9939056
REGION1,HRHY,2027,23.0022792
REGION1,HRHY,2028,23.0106528
REGION1,HRHY,2029,23.0190264
REGION1,HRHY,2030,23.0274
REGION1,HRHY,2031,23.0274
REGION1,HRHY,2032,23.0274
REGION1,HRHY,2033,23.0274
REGION1,HRHY,2034,23.0274
REGION1,HRHY,2035,23.0274
REGION1,HRHY,2036,23.1278832
REGION1,HRHY,2037,23.2283664
REGION1,HRHY,2038,23.3288496
REGION1,HRHY,2039,23.4293328
REGION1,HRHY,2040,23.529816
REGION1,HRHY,2041,23.65542
REGION1,HRHY,2042,23.781024
REGION1,HRHY,2043,23.906628
REGION1,HRHY,2044,24.032232
REGION1,HRHY,2045,24.157836
REGION1,HRHY,2046,24.1913304
REGION1,HRHY,2047,24.2248248
REGION1,HRHY,2048,24.2583192
REGION1,HRHY,2049,24.2918
REGION1,HRHY,2050,24.325308
REGION1,HRHY,2051,24.35449837
REGION1,HRHY,2052,24.38372377
REGION1,HRHY,2053,24.41298424
REGION1,HRHY,2054,24.44227982
REGION1,HRHY,2055,24.47161055
REGION1,HRHY,2056,24.50097649
REGION1,HRHY,2057,24.53037766
REGION1,HRHY,2058,24.55981411
REGION1,HRHY,2059,24.58928589
REGION1,HRHY,2060,24.61879303
REGION1,HUHO,2015,0.83736
REGION1,HUHO,2016,0.83736
REGION1,HUHO,2017,0.83736
